Query_ID,k,m,Calculated_Inter_Cluster_Entropy,Calculated_Intra_Cluster_Entropy,query_video,query_caption
Sample_001,33,8,0.009022554079301505,0.0052134128367259955,sample_00003239,"In the video, the screen shows a man using a cellphone to make a call indoors."
Sample_002,33,8,0.009560467650744007,0.009093191687721627,sample_00000499,"In the video, we see a character standing in a lush environment, wearing military uniform, with a sm..."
Sample_003,33,8,0.005866486629078843,0.0071389973555250445,sample_00000153,"Input: In the video, at the beginning of the video, we see a lady with a smile on her face, her mout..."
Sample_004,33,8,0.010996113037601776,0.005404922907711208,sample_00001175,"In the video, the scene shows a woman sitting indoors, appearing to be in a restaurant or café."
Sample_005,33,8,0.008737463427743373,0.00794767119504916,sample_00001074,"In the video, the screen shows a man sitting opposite a woman in an indoor setting."
Sample_006,33,8,0.013755194271992021,0.0021353640055906493,sample_00001000,"In the video, the screen shows a man wearing a white coat and a tie, presumably a doctor."
Sample_007,33,8,0.0050981891173798675,0.007254122001013233,sample_00000602,"In the video, this segment shows a close-up shot of a male character engaged in a conversation with ..."
Sample_008,33,8,0.005646042790025436,0.00649858564150748,sample_00000444,"Input: In the video, at the beginning, we see a lady whose facial expression appears very happy and ..."
Sample_009,33,8,0.009987531643688518,0.010104214241134998,sample_00002339,"In the video, the scene shows two individuals in a dimly lit indoor environment."
Sample_010,33,8,0.006232631673817645,0.007430251578139774,sample_00000385,"Input: In the video, in the opening scene, we see a character inside a store with products on the sh..."
Sample_011,33,8,0.005544811940432514,0.004581286629027992,sample_00002565,"In the video, the screen shows a male character wearing a black shirt, with a luxurious indoor envir..."
Sample_012,33,8,0.011216896221674105,0.004668614957882339,sample_00001762,"Input: In the video, we see a male character sitting in an indoor environment with a whiteboard and ..."
Sample_013,33,8,0.013503350161865562,0.007145850640312135,sample_00000203,"Input: In the video, at the beginning of the video, we see a female character sitting indoors."
Sample_014,33,8,0.006052162670776004,0.005662256346328965,sample_00000176,"Input: In the video, it is impossible to determine the characters' emotional state; in the audio, it..."
Sample_015,33,8,0.009384209469478655,0.005823864831656685,sample_00000406,"In the video, the screen shows a woman sitting indoors."
Sample_016,33,8,0.00953002238526519,0.008496710217953691,sample_00000972,"In the video, in the opening scene, we see a female character with a serious facial expression, tigh..."
Sample_017,33,8,0.012481440626440927,0.012366792944585037,sample_00001043,"In the video, we see a female character having a conversation with a male character."
Sample_018,33,8,0.015048395944772055,0.009292061102198993,sample_00002187,"Input: In the video, the frame includes a woman and a man."
Sample_019,33,8,0.013972098290506623,0.005799547303711009,sample_00002783,"In the video, the scene shows a woman sitting indoors."
Sample_020,33,8,0.008891721355005502,0.007524533402893737,sample_00000166,"In the video, the screen shows a man leaning slightly forward, which may indicate that he is paying ..."
Sample_021,33,8,0.00803224982026309,0.007584218168507426,sample_00002449,"In the video, the screen shows a woman wearing a star-patterned outfit."
Sample_022,33,8,0.004115168733834797,0.004621328584273946,sample_00000881,"In the video, the screen shows a woman indoors."
Sample_023,33,8,0.009863872211660248,0.008993189734864132,sample_00001756,"Input: In the video, the screen shows a female character looking attentively at the male on the left..."
Sample_024,33,8,0.00878914876968916,0.006772460074469538,sample_00000980,"In the video, we see a male character with a smile on his face, gentle eyes, and the corners of his ..."
Sample_025,33,8,0.010264836526482168,0.010363624173422058,sample_00001846,"In the video, the screen shows a female character."
Sample_026,33,8,0.007263912832634125,0.00884166631509033,sample_00002563,"In the video, the screen shows a man inside a store."
Sample_027,33,8,0.010593217520664932,0.008505796122371106,sample_00001178,"Input: In the video, at the beginning of the video, we see three people sitting together."
Sample_028,33,8,0.0035851092594592193,0.007016529007606543,sample_00000033,"In the video, the screen shows a close-up shot of a male."
Sample_029,33,8,0.00993891725677708,0.0057257520542086035,sample_00000665,"In the video, in the opening scene, we see a male character with a slightly melancholic expression."
Sample_030,33,8,0.011140721547261145,0.00995195483866606,sample_00001393,"Input: In the video, the frame contains two characters, with the character on the left facing the ca..."
Sample_031,33,8,0.008717916693674256,0.008360312835049948,sample_00000648,"In the video, we see a woman with expressive mouth movements, seemingly expressing her views or emot..."
Sample_032,33,8,0.011017267806318495,0.00605374127400448,sample_00000960,"Input: In the video, at the beginning of the video, we see a male character with a serious facial ex..."
Sample_033,33,8,0.00998460038134756,0.008198440218480442,sample_00001383,"In the video, we see a woman with a slight upward curve at the corner of her mouth, wearing a smile,..."
Sample_034,33,8,0.006127049133036947,0.005916645473080667,sample_00001614,"In the video, the screen shows a female character with an indoor background."
Sample_035,33,8,0.011060431322825949,0.005645093927275753,sample_00000420,"In the video, in the opening scene, we see a woman sitting indoors with bright windows and green pla..."
Sample_036,33,8,0.008934839091556821,0.007384956865111218,sample_00001455,"In the video, the screen shows a female character standing in front of a dim background, with a micr..."
Sample_037,33,8,0.015363652924108222,0.006428383880420335,sample_00001416,"Input: In the video, the left lady (wearing an apron) and the right lady (wearing a green shirt) are..."
Sample_038,33,8,0.013826322551411661,0.00887546551160451,sample_00002785,"In the video, the screen shows a man sitting in a luxuriously decorated environment."
Sample_039,33,8,0.007392966775138884,0.008184842518180677,sample_00001142,"In the video, the character is wearing a police uniform, with a furrowed brow and slightly downturne..."
Sample_040,33,8,0.007357070030812253,0.00599837799659023,sample_00000220,"Input: In the video, the screen shows a male character in an indoor setting."
Sample_041,33,8,0.005978541456289972,0.005892139773463097,sample_00001921,"In the video, the screen shows a woman sitting in the driver's seat of a car, and she is using her p..."
Sample_042,33,8,0.007919210598921648,0.0057250059864046975,sample_00002311,"In the video, the screen shows a man wearing a suit and a black bow tie, standing in a studio simila..."
Sample_043,33,8,0.004736906503623865,0.005678205684049011,sample_00000529,"In the video, it is difficult to determine the emotional state of the person."
Sample_044,33,8,0.011113193466012092,0.0070975582840054645,sample_00001589,"In the video, the screen shows a female character whose facial expression appears very painful."
Sample_045,33,8,0.005262247644192908,0.005992590524284698,sample_00000363,"Input: In the video, the screen shows a female character in an indoor setting."
Sample_046,33,8,0.005584507015582554,0.0062763396602049226,sample_00002394,"Input: In the video, the screen shows a male character, with a blurred background, but it can be see..."
Sample_047,33,8,0.010154757041615567,0.010587683258143668,sample_00001215,"In the video, the screen shows a female character."
Sample_048,33,8,0.012827062606913398,0.002567462970894117,sample_00003116,"In the video, the scene shows a person lying on a bed, dressed in what appears to be a patient gown,..."
Sample_049,33,8,0.010555349667643743,0.012672298469706054,sample_00003025,"In the video, the scene shows a male character wearing a police uniform and a female character in ca..."
Sample_050,33,8,0.00927678996753315,0.007356978429436465,sample_00001492,"Input: In the video, the frame includes a man on the right side (facing the camera) and a man on the..."
